DICOFRE,NUTS-II,Distrito,Concelho,Freguesia,Area_Ha
010103,centro,aveiro,águeda,aguada de cima,2839.31
010109,centro,aveiro,águeda,fermentelos,858.2
010112,centro,aveiro,águeda,macinhata do vouga,3195.44
010119,centro,aveiro,águeda,valongo do vouga,4320.11
010121,centro,aveiro,águeda,união das freguesias de águeda e borralha,3602.93
010122,centro,aveiro,águeda,união das freguesias de barrô e aguada de baixo,1019.01
010123,centro,aveiro,águeda,"união das freguesias de belazaima do chão, castanheira do vouga e agadão",8809.03
010124,centro,aveiro,águeda,união das freguesias de recardães e espinhel,1991.78
010125,centro,aveiro,águeda,união das freguesias de travassô e óis da ribeira,1112.19
010126,centro,aveiro,águeda,"união das freguesias de trofa, segadães e lamas do vouga",1606.81
010127,centro,aveiro,águeda,união das freguesias do préstimo e macieira de alcoba,4172.64
010202,centro,aveiro,albergaria-a-velha,alquerubim,1535.86
010203,centro,aveiro,albergaria-a-velha,angeja,2125.17
010204,centro,aveiro,albergaria-a-velha,branca,3028.86
010206,centro,aveiro,albergaria-a-velha,ribeira de fráguas,2674.54
010209,centro,aveiro,albergaria-a-velha,albergaria-a-velha e valmaior,4699.64
010210,centro,aveiro,albergaria-a-velha,são joão de loure e frossos,1818.42
010304,centro,aveiro,anadia,avelãs de caminho,644.87
010305,centro,aveiro,anadia,avelãs de cima,4057.8
010307,centro,aveiro,anadia,moita,3417.61
010309,centro,aveiro,anadia,sangalhos,1690.42
010310,centro,aveiro,anadia,são lourenço do bairro,1538.31
010312,centro,aveiro,anadia,vila nova de monsarros,2372.04
010313,centro,aveiro,anadia,vilarinho do bairro,2556.33
010316,centro,aveiro,anadia,"união das freguesias de amoreira da gândara, paredes do bairro e ancas",2206.42
010317,centro,aveiro,anadia,união das freguesias de arcos e mogofores,1439.3
010318,centro,aveiro,anadia,"união das freguesias de tamengos, aguim e óis do bairro",1740.39
010402,norte,aveiro,arouca,alvarenga,3876.6
010407,norte,aveiro,arouca,chave,1090.53
010409,norte,aveiro,arouca,escariz,1798.46
010411,norte,aveiro,arouca,fermedo,1110.53
010413,norte,aveiro,arouca,mansores,1407.54
010414,norte,aveiro,arouca,moldes,2800.51
010415,norte,aveiro,arouca,rossas,1111.18
010416,norte,aveiro,arouca,santa eulália,2304.76
010417,norte,aveiro,arouca,são miguel do mato,1710.47
010418,norte,aveiro,arouca,tropeço,1783.87
010419,norte,aveiro,arouca,urrô,1078.75
010420,norte,aveiro,arouca,várzea,179.1
010421,norte,aveiro,arouca,união das freguesias de arouca e burgo,1524.41
010422,norte,aveiro,arouca,união das freguesias de cabreiros e albergaria da serra,3123.16
010423,norte,aveiro,arouca,união das freguesias de canelas e espiunca,3572.94
010424,norte,aveiro,arouca,união das freguesias de covelo de paivó e janarde,4437.7
010501,centro,aveiro,aveiro,aradas,892.77
010502,centro,aveiro,aveiro,cacia,3575.49
010505,centro,aveiro,aveiro,esgueira,1714.85
010508,centro,aveiro,aveiro,oliveirinha,1207.07
010510,centro,aveiro,aveiro,são bernardo,393.56
010511,centro,aveiro,aveiro,são jacinto,1383.71
010513,centro,aveiro,aveiro,santa joana,584.55
010515,centro,aveiro,aveiro,eixo e eirol,2241.56
010516,centro,aveiro,aveiro,"requeixo, nossa senhora de fátima e nariz",3231.95
010517,centro,aveiro,aveiro,união das freguesias de glória e vera cruz,4532.07
010602,norte,aveiro,castelo de paiva,fornos,411.01
010606,norte,aveiro,castelo de paiva,real,3310.65
010607,norte,aveiro,castelo de paiva,santa maria de sardoura,1006.33
010608,norte,aveiro,castelo de paiva,são martinho de sardoura,431.22
010610,norte,aveiro,castelo de paiva,"união das freguesias de raiva, pedorido e paraíso",4937.28
010611,norte,aveiro,castelo de paiva,união das freguesias de sobrado e bairros,1404.04
010702,norte,aveiro,espinho,espinho,176.62
010704,norte,aveiro,espinho,paramos,587.17
010705,norte,aveiro,espinho,silvalde,545.48
010706,norte,aveiro,espinho,união das freguesias de anta e guetim,796.4
010801,centro,aveiro,estarreja,avanca,2106.73
010805,centro,aveiro,estarreja,pardilhó,1570.25
010806,centro,aveiro,estarreja,salreu,1653.91
010808,centro,aveiro,estarreja,união das freguesias de beduído e veiros,3184.25
010809,centro,aveiro,estarreja,união das freguesias de canelas e fermelã,2302.19
010901,norte,aveiro,santa maria da feira,argoncilhe,821.34
010902,norte,aveiro,santa maria da feira,arrifana,529.47
010904,norte,aveiro,santa maria da feira,escapães,430.4
010907,norte,aveiro,santa maria da feira,fiães,637.82
010908,norte,aveiro,santa maria da feira,fornos,313.64
010913,norte,aveiro,santa maria da feira,lourosa,577.4
010914,norte,aveiro,santa maria da feira,milheirós de poiares,786.51
010916,norte,aveiro,santa maria da feira,mozelos,580.94
010917,norte,aveiro,santa maria da feira,nogueira da regedoura,509.91
010918,norte,aveiro,santa maria da feira,são paio de oleiros,390.53
010919,norte,aveiro,santa maria da feira,paços de brandão,355.62
010921,norte,aveiro,santa maria da feira,rio meão,668.33
010922,norte,aveiro,santa maria da feira,romariz,1107.99
010924,norte,aveiro,santa maria da feira,sanguedo,456.56
010925,norte,aveiro,santa maria da feira,santa maria de lamas,375.45
010926,norte,aveiro,santa maria da feira,são joão de ver,1537.45
010932,norte,aveiro,santa maria da feira,união das freguesias de caldas de são jorge e pigeiros,1064
010933,norte,aveiro,santa maria da feira,"união das freguesias de canedo, vale e vila maior",4369.6
010934,norte,aveiro,santa maria da feira,"união das freguesias de lobão, gião, louredo e guisande",2358.22
010935,norte,aveiro,santa maria da feira,"união das freguesias de santa maria da feira, travanca, sanfins e espargo",2336.21
010936,norte,aveiro,santa maria da feira,união das freguesias de são miguel do souto e mosteirô,1380.26
011005,centro,aveiro,ílhavo,gafanha da encarnação,1098.28
011006,centro,aveiro,ílhavo,gafanha da nazaré,1643.59
011007,centro,aveiro,ílhavo,gafanha do carmo,705.49
011008,centro,aveiro,ílhavo,ílhavo (são salvador),3900.2
011102,centro,aveiro,mealhada,barcouço,2130.89
011103,centro,aveiro,mealhada,casal comba,1880.42
011104,centro,aveiro,mealhada,luso,1686.94
011106,centro,aveiro,mealhada,pampilhosa,1360.34
011107,centro,aveiro,mealhada,vacariça,1866.67
011109,centro,aveiro,mealhada,"união das freguesias da mealhada, ventosa do bairro e antes",2140.4
011201,centro,aveiro,murtosa,bunheiro,2479.24
011202,centro,aveiro,murtosa,monte,228.57
011203,centro,aveiro,murtosa,murtosa,1454.93
011204,centro,aveiro,murtosa,torreira,3146.04
011301,norte,aveiro,oliveira de azeméis,carregosa,1181.73
011302,norte,aveiro,oliveira de azeméis,cesar,542.77
011303,norte,aveiro,oliveira de azeméis,fajões,812.22
011304,norte,aveiro,oliveira de azeméis,loureiro,1713.35
011305,norte,aveiro,oliveira de azeméis,macieira de sarnes,386.89
011310,norte,aveiro,oliveira de azeméis,ossela,1788.6
011315,norte,aveiro,oliveira de azeméis,são martinho da gândara,813.13
011318,norte,aveiro,oliveira de azeméis,são roque,705.29
011319,norte,aveiro,oliveira de azeméis,vila de cucujães,1042.11
011320,norte,aveiro,oliveira de azeméis,união das freguesias de nogueira do cravo e pindelo,1254.22
011321,norte,aveiro,oliveira de azeméis,"união das freguesias de oliveira de azeméis, santiago da riba-ul, ul, macinhata da seixa e madail",2594.45
011322,norte,aveiro,oliveira de azeméis,"união das freguesias de pinheiro da bemposta, travanca e palmaz",3275.64
011403,centro,aveiro,oliveira do bairro,oiã,2632.24
011404,centro,aveiro,oliveira do bairro,oliveira do bairro,2255.33
011405,centro,aveiro,oliveira do bairro,palhaça,1002.56
011407,centro,aveiro,oliveira do bairro,"união das freguesias de bustos, troviscal e mamarrosa",2841.86
011502,centro,aveiro,ovar,cortegaça,922.86
011503,centro,aveiro,ovar,esmoriz,916.73
011504,centro,aveiro,ovar,maceda,1607.96
011507,centro,aveiro,ovar,válega,2683.03
011509,centro,aveiro,ovar,"união das freguesias de ovar, são joão, arada e são vicente de pereira jusã",8639.67
011601,norte,aveiro,são joão da madeira,são joão da madeira,794.3
